S,»Ò·Ö,C,H,N,,,,
1.59,9.7,73.6,4.65,1.36,,,,
0.32,10.1,81.9,3.42,1.33,,,,
1.65,12.01,79.26,3.13,1.06,,,,
0.82,9.09,74.95,4.57,1.37,,,,
1.99,18.21,65.35,4.15,1.19,,,,
2.9,16.72,65.88,4.33,1.17,,,,
2.25,25.74,58.46,3.87,1.08,,,,
1.75,16.09,71.39,4.08,1.17,,,,
2.57,30.89,54.04,3.72,0.91,,,,
0.38,16.03,76.68,2.59,1.15,,,,
1.18,21.94,72.00,1.63,0.68,,,,
0.82,9.09,74.95,4.57,1.37,,,,
1.91,13.33,69.55,4.39,1.19,,,,
2.90,16.72,65.88,4.33,1.17,,,,
4.13,34.01,51.06,3.24,0.99,,,,
4.71,46.30,41.07,1.58,0.46,,,,
2.25,25.74,58.46,3.87,1.08,,,,
1.73,15.72,72.07,4.14,1.18,,,,
3.42,16.21,72.57,3.29,1.03,,,,
0.27,17.58,74.29,2.50,0.87,,,,
0.27,9.49,83.28,3.16,1.15,,,,
1.78,15.68,67.88,4.08,1.19,,,,
1.98,18.22,65.41,4.18,1.19,,,,
